Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2022,Guyana,GUY,Ireland,IRL,0,5,0,-,0,0,0
2016,"China, Hong Kong SAR",HKG,Ireland,IRL,0,29,0,-,0,-,0
2015,Honduras,HND,Ireland,IRL,5,0,0,-,0,-,0
2016,Honduras,HND,Ireland,IRL,5,0,0,-,0,-,0
2017,Honduras,HND,Ireland,IRL,5,0,0,-,0,-,0
2018,Honduras,HND,Ireland,IRL,5,0,0,-,0,-,0
2020,Honduras,HND,Ireland,IRL,0,5,0,-,0,-,0
2021,Honduras,HND,Ireland,IRL,0,6,0,-,0,-,0
2022,Honduras,HND,Ireland,IRL,5,12,0,-,0,0,0
2001,Croatia,HRV,Ireland,IRL,18,0,0,-,0,-,0
2002,Croatia,HRV,Ireland,IRL,97,0,0,-,0,-,0
2003,Croatia,HRV,Ireland,IRL,151,195,0,-,0,-,0
2004,Croatia,HRV,Ireland,IRL,218,163,0,-,0,-,0
2005,Croatia,HRV,Ireland,IRL,289,0,0,-,0,-,0
2006,Croatia,HRV,Ireland,IRL,295,32,0,-,0,-,0
2007,Croatia,HRV,Ireland,IRL,302,27,0,-,0,-,0
2008,Croatia,HRV,Ireland,IRL,310,25,0,-,0,-,0
2009,Croatia,HRV,Ireland,IRL,317,10,0,-,0,-,0
2010,Croatia,HRV,Ireland,IRL,317,15,0,-,0,-,0
2011,Croatia,HRV,Ireland,IRL,300,14,0,-,0,-,0
2012,Croatia,HRV,Ireland,IRL,221,14,0,-,0,-,0
2013,Croatia,HRV,Ireland,IRL,77,0,0,-,0,-,0
2014,Croatia,HRV,Ireland,IRL,69,0,0,-,0,-,0
2015,Croatia,HRV,Ireland,IRL,69,0,0,-,0,-,0
2003,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2004,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2005,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2006,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2007,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2008,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2009,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2010,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2011,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2012,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2013,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2014,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2015,Hungary,HUN,Ireland,IRL,5,0,0,-,0,-,0
2001,Cote d'Ivoire,CIV,Ireland,IRL,5,0,0,-,0,-,0
2002,Cote d'Ivoire,CIV,Ireland,IRL,48,0,0,-,0,-,0
2003,Cote d'Ivoire,CIV,Ireland,IRL,59,68,0,-,0,-,0
2004,Cote d'Ivoire,CIV,Ireland,IRL,70,31,0,-,0,-,0
2005,Cote d'Ivoire,CIV,Ireland,IRL,78,0,0,-,0,-,0
2006,Cote d'Ivoire,CIV,Ireland,IRL,80,21,0,-,0,-,0
2007,Cote d'Ivoire,CIV,Ireland,IRL,53,32,0,-,0,-,0
2008,Cote d'Ivoire,CIV,Ireland,IRL,58,42,0,-,0,-,0
2009,Cote d'Ivoire,CIV,Ireland,IRL,63,17,0,-,0,-,0
2010,Cote d'Ivoire,CIV,Ireland,IRL,63,41,0,-,0,-,0
2011,Cote d'Ivoire,CIV,Ireland,IRL,62,37,0,-,0,-,0
2012,Cote d'Ivoire,CIV,Ireland,IRL,48,42,0,-,0,-,0
2013,Cote d'Ivoire,CIV,Ireland,IRL,25,31,0,-,0,-,0
2014,Cote d'Ivoire,CIV,Ireland,IRL,21,18,0,-,0,-,0
2015,Cote d'Ivoire,CIV,Ireland,IRL,21,7,0,-,0,-,0
2016,Cote d'Ivoire,CIV,Ireland,IRL,18,5,0,-,0,-,0
2017,Cote d'Ivoire,CIV,Ireland,IRL,19,5,0,-,0,-,0
2018,Cote d'Ivoire,CIV,Ireland,IRL,14,11,0,-,0,-,0
2019,Cote d'Ivoire,CIV,Ireland,IRL,14,14,0,-,0,-,0
2020,Cote d'Ivoire,CIV,Ireland,IRL,15,8,0,-,0,-,0
2021,Cote d'Ivoire,CIV,Ireland,IRL,15,9,0,-,0,-,0
2022,Cote d'Ivoire,CIV,Ireland,IRL,15,10,0,-,0,0,0
2002,India,IND,Ireland,IRL,5,0,0,-,0,-,0
2003,India,IND,Ireland,IRL,5,10,0,-,0,-,0
2004,India,IND,Ireland,IRL,5,0,0,-,0,-,0
2005,India,IND,Ireland,IRL,5,0,0,-,0,-,0
2006,India,IND,Ireland,IRL,6,10,0,-,0,-,0
2007,India,IND,Ireland,IRL,5,21,0,-,0,-,0
2008,India,IND,Ireland,IRL,5,18,0,-,0,-,0
2009,India,IND,Ireland,IRL,5,16,0,-,0,-,0
2010,India,IND,Ireland,IRL,5,31,0,-,0,-,0
2011,India,IND,Ireland,IRL,5,23,0,-,0,-,0
2012,India,IND,Ireland,IRL,5,25,0,-,0,-,0
2013,India,IND,Ireland,IRL,5,34,0,-,0,-,0
2014,India,IND,Ireland,IRL,5,19,0,-,0,-,0
2015,India,IND,Ireland,IRL,5,135,0,-,0,-,0
2016,India,IND,Ireland,IRL,5,80,0,-,0,-,0
2017,India,IND,Ireland,IRL,5,98,0,-,0,-,0
2018,India,IND,Ireland,IRL,0,116,0,-,0,-,0
2019,India,IND,Ireland,IRL,10,116,0,-,0,-,0
2020,India,IND,Ireland,IRL,14,105,0,-,0,-,0
2021,India,IND,Ireland,IRL,16,68,0,-,0,-,0
2022,India,IND,Ireland,IRL,21,73,0,-,0,0,0
2020,Indonesia,IDN,Ireland,IRL,5,0,0,-,0,-,0
2021,Indonesia,IDN,Ireland,IRL,5,0,0,-,0,-,0
2022,Indonesia,IDN,Ireland,IRL,5,5,0,-,0,0,0
1999,Iran (Islamic Rep. of),IRN,Ireland,IRL,5,0,0,-,0,-,0
2000,Iran (Islamic Rep. of),IRN,Ireland,IRL,11,0,0,-,0,-,0
2001,Iran (Islamic Rep. of),IRN,Ireland,IRL,33,0,0,-,0,-,0
2002,Iran (Islamic Rep. of),IRN,Ireland,IRL,19,0,0,-,0,-,0
2003,Iran (Islamic Rep. of),IRN,Ireland,IRL,40,36,0,-,0,-,0
2004,Iran (Islamic Rep. of),IRN,Ireland,IRL,85,72,0,-,0,-,0
2005,Iran (Islamic Rep. of),IRN,Ireland,IRL,162,0,0,-,0,-,0
2006,Iran (Islamic Rep. of),IRN,Ireland,IRL,365,137,0,-,0,-,0
2007,Iran (Islamic Rep. of),IRN,Ireland,IRL,151,114,0,-,0,-,0
2008,Iran (Islamic Rep. of),IRN,Ireland,IRL,173,113,0,-,0,-,0
2009,Iran (Islamic Rep. of),IRN,Ireland,IRL,197,47,0,-,0,-,0
2010,Iran (Islamic Rep. of),IRN,Ireland,IRL,205,109,0,-,0,-,0
2011,Iran (Islamic Rep. of),IRN,Ireland,IRL,215,79,0,-,0,-,0
2012,Iran (Islamic Rep. of),IRN,Ireland,IRL,206,93,0,-,0,-,0
2013,Iran (Islamic Rep. of),IRN,Ireland,IRL,118,78,0,-,0,-,0
2014,Iran (Islamic Rep. of),IRN,Ireland,IRL,118,53,0,-,0,-,0
2015,Iran (Islamic Rep. of),IRN,Ireland,IRL,144,37,0,-,0,-,0
2016,Iran (Islamic Rep. of),IRN,Ireland,IRL,131,14,0,-,0,-,0
2017,Iran (Islamic Rep. of),IRN,Ireland,IRL,135,26,0,-,0,-,0
2018,Iran (Islamic Rep. of),IRN,Ireland,IRL,126,39,0,-,0,-,0
2019,Iran (Islamic Rep. of),IRN,Ireland,IRL,141,46,0,-,0,-,0
2020,Iran (Islamic Rep. of),IRN,Ireland,IRL,155,33,0,-,0,-,0
2021,Iran (Islamic Rep. of),IRN,Ireland,IRL,155,15,0,-,0,-,0
2022,Iran (Islamic Rep. of),IRN,Ireland,IRL,137,53,0,-,0,0,0
1999,Iraq,IRQ,Ireland,IRL,59,0,0,-,0,-,0
2000,Iraq,IRQ,Ireland,IRL,74,0,0,-,0,-,0
2001,Iraq,IRQ,Ireland,IRL,134,0,0,-,0,-,0
2002,Iraq,IRQ,Ireland,IRL,185,0,0,-,0,-,0
2003,Iraq,IRQ,Ireland,IRL,178,197,0,-,0,-,0
2004,Iraq,IRQ,Ireland,IRL,232,35,0,-,0,-,0
2005,Iraq,IRQ,Ireland,IRL,257,0,0,-,0,-,0
2006,Iraq,IRQ,Ireland,IRL,338,119,0,-,0,-,0
2007,Iraq,IRQ,Ireland,IRL,532,206,0,-,0,-,0
2008,Iraq,IRQ,Ireland,IRL,642,165,0,-,0,-,0
2009,Iraq,IRQ,Ireland,IRL,688,76,0,-,0,-,0
2010,Iraq,IRQ,Ireland,IRL,650,123,0,-,0,-,0
2011,Iraq,IRQ,Ireland,IRL,595,112,0,-,0,-,0
2012,Iraq,IRQ,Ireland,IRL,534,120,0,-,0,-,0
2013,Iraq,IRQ,Ireland,IRL,380,104,0,-,0,-,0
2014,Iraq,IRQ,Ireland,IRL,379,54,0,-,0,-,0
2015,Iraq,IRQ,Ireland,IRL,409,39,0,-,0,-,0
2016,Iraq,IRQ,Ireland,IRL,420,80,0,-,0,-,0
2017,Iraq,IRQ,Ireland,IRL,491,96,0,-,0,-,0
2018,Iraq,IRQ,Ireland,IRL,342,103,0,-,0,-,0
2019,Iraq,IRQ,Ireland,IRL,398,81,0,-,0,-,0
2020,Iraq,IRQ,Ireland,IRL,425,65,0,-,0,-,0
2021,Iraq,IRQ,Ireland,IRL,398,59,0,-,0,-,0
2022,Iraq,IRQ,Ireland,IRL,356,89,0,-,0,0,0
2003,Israel,ISR,Ireland,IRL,0,57,0,-,0,-,0
2004,Israel,ISR,Ireland,IRL,5,19,0,-,0,-,0
2005,Israel,ISR,Ireland,IRL,25,0,0,-,0,-,0
2006,Israel,ISR,Ireland,IRL,25,44,0,-,0,-,0
2007,Israel,ISR,Ireland,IRL,26,27,0,-,0,-,0
2008,Israel,ISR,Ireland,IRL,26,21,0,-,0,-,0
2009,Israel,ISR,Ireland,IRL,26,7,0,-,0,-,0
2010,Israel,ISR,Ireland,IRL,29,38,0,-,0,-,0
2011,Israel,ISR,Ireland,IRL,29,34,0,-,0,-,0
2012,Israel,ISR,Ireland,IRL,28,18,0,-,0,-,0
2013,Israel,ISR,Ireland,IRL,0,7,0,-,0,-,0
2014,Israel,ISR,Ireland,IRL,0,10,0,-,0,-,0
2015,Israel,ISR,Ireland,IRL,0,10,0,-,0,-,0
2016,Israel,ISR,Ireland,IRL,5,0,0,-,0,-,0
2017,Israel,ISR,Ireland,IRL,5,5,0,-,0,-,0
2018,Israel,ISR,Ireland,IRL,5,5,0,-,0,-,0
2019,Israel,ISR,Ireland,IRL,5,0,0,-,0,-,0
2020,Israel,ISR,Ireland,IRL,12,0,0,-,0,-,0
2021,Israel,ISR,Ireland,IRL,12,9,0,-,0,-,0
2022,Israel,ISR,Ireland,IRL,11,7,0,-,0,0,0
2003,Jamaica,JAM,Ireland,IRL,5,7,0,-,0,-,0
2004,Jamaica,JAM,Ireland,IRL,5,5,0,-,0,-,0
2005,Jamaica,JAM,Ireland,IRL,7,0,0,-,0,-,0
2006,Jamaica,JAM,Ireland,IRL,8,5,0,-,0,-,0
2007,Jamaica,JAM,Ireland,IRL,9,0,0,-,0,-,0
2008,Jamaica,JAM,Ireland,IRL,9,0,0,-,0,-,0
2009,Jamaica,JAM,Ireland,IRL,9,0,0,-,0,-,0
2010,Jamaica,JAM,Ireland,IRL,9,0,0,-,0,-,0
2011,Jamaica,JAM,Ireland,IRL,8,0,0,-,0,-,0
2012,Jamaica,JAM,Ireland,IRL,9,0,0,-,0,-,0
2013,Jamaica,JAM,Ireland,IRL,5,0,0,-,0,-,0
2001,Jordan,JOR,Ireland,IRL,5,0,0,-,0,-,0
2007,Jordan,JOR,Ireland,IRL,5,5,0,-,0,-,0
2008,Jordan,JOR,Ireland,IRL,5,5,0,-,0,-,0
2009,Jordan,JOR,Ireland,IRL,5,0,0,-,0,-,0
2010,Jordan,JOR,Ireland,IRL,5,5,0,-,0,-,0
2011,Jordan,JOR,Ireland,IRL,5,5,0,-,0,-,0
2012,Jordan,JOR,Ireland,IRL,5,5,0,-,0,-,0
2013,Jordan,JOR,Ireland,IRL,8,5,0,-,0,-,0
2014,Jordan,JOR,Ireland,IRL,6,5,0,-,0,-,0
2015,Jordan,JOR,Ireland,IRL,6,0,0,-,0,-,0
2016,Jordan,JOR,Ireland,IRL,6,0,0,-,0,-,0
2017,Jordan,JOR,Ireland,IRL,7,5,0,-,0,-,0
2019,Jordan,JOR,Ireland,IRL,6,10,0,-,0,-,0
2020,Jordan,JOR,Ireland,IRL,6,15,0,-,0,-,0
2021,Jordan,JOR,Ireland,IRL,7,16,0,-,0,-,0
2022,Jordan,JOR,Ireland,IRL,18,28,0,-,0,0,0
1999,Kazakhstan,KAZ,Ireland,IRL,5,0,0,-,0,-,0
2000,Kazakhstan,KAZ,Ireland,IRL,5,0,0,-,0,-,0
2001,Kazakhstan,KAZ,Ireland,IRL,15,0,0,-,0,-,0
2002,Kazakhstan,KAZ,Ireland,IRL,25,0,0,-,0,-,0
2003,Kazakhstan,KAZ,Ireland,IRL,51,52,0,-,0,-,0
2004,Kazakhstan,KAZ,Ireland,IRL,61,23,0,-,0,-,0
2005,Kazakhstan,KAZ,Ireland,IRL,65,0,0,-,0,-,0
2006,Kazakhstan,KAZ,Ireland,IRL,69,7,0,-,0,-,0
2007,Kazakhstan,KAZ,Ireland,IRL,77,0,0,-,0,-,0
2008,Kazakhstan,KAZ,Ireland,IRL,77,0,0,-,0,-,0
2009,Kazakhstan,KAZ,Ireland,IRL,74,0,0,-,0,-,0
2010,Kazakhstan,KAZ,Ireland,IRL,74,5,0,-,0,-,0
2011,Kazakhstan,KAZ,Ireland,IRL,62,6,0,-,0,-,0
2012,Kazakhstan,KAZ,Ireland,IRL,49,5,0,-,0,-,0
2013,Kazakhstan,KAZ,Ireland,IRL,46,5,0,-,0,-,0
2014,Kazakhstan,KAZ,Ireland,IRL,37,0,0,-,0,-,0
2015,Kazakhstan,KAZ,Ireland,IRL,37,0,0,-,0,-,0
2016,Kazakhstan,KAZ,Ireland,IRL,35,0,0,-,0,-,0
2017,Kazakhstan,KAZ,Ireland,IRL,35,0,0,-,0,-,0
2018,Kazakhstan,KAZ,Ireland,IRL,19,0,0,-,0,-,0
2019,Kazakhstan,KAZ,Ireland,IRL,19,0,0,-,0,-,0
2020,Kazakhstan,KAZ,Ireland,IRL,18,0,0,-,0,-,0
2021,Kazakhstan,KAZ,Ireland,IRL,18,0,0,-,0,-,0
2022,Kazakhstan,KAZ,Ireland,IRL,11,5,0,-,0,0,0
2000,Kenya,KEN,Ireland,IRL,5,0,0,-,0,-,0
2001,Kenya,KEN,Ireland,IRL,14,0,0,-,0,-,0
2002,Kenya,KEN,Ireland,IRL,32,0,0,-,0,-,0
2003,Kenya,KEN,Ireland,IRL,53,78,0,-,0,-,0
2004,Kenya,KEN,Ireland,IRL,74,53,0,-,0,-,0
2005,Kenya,KEN,Ireland,IRL,91,0,0,-,0,-,0
2006,Kenya,KEN,Ireland,IRL,100,44,0,-,0,-,0
2007,Kenya,KEN,Ireland,IRL,105,58,0,-,0,-,0
2008,Kenya,KEN,Ireland,IRL,107,55,0,-,0,-,0
2009,Kenya,KEN,Ireland,IRL,110,28,0,-,0,-,0
2010,Kenya,KEN,Ireland,IRL,105,72,0,-,0,-,0
2011,Kenya,KEN,Ireland,IRL,96,62,0,-,0,-,0
2012,Kenya,KEN,Ireland,IRL,78,62,0,-,0,-,0
2013,Kenya,KEN,Ireland,IRL,52,35,0,-,0,-,0
2014,Kenya,KEN,Ireland,IRL,51,24,0,-,0,-,0
2015,Kenya,KEN,Ireland,IRL,59,10,0,-,0,-,0
2016,Kenya,KEN,Ireland,IRL,56,0,0,-,0,-,0
2017,Kenya,KEN,Ireland,IRL,56,6,0,-,0,-,0
2018,Kenya,KEN,Ireland,IRL,44,14,0,-,0,-,0
2019,Kenya,KEN,Ireland,IRL,51,29,0,-,0,-,0
2020,Kenya,KEN,Ireland,IRL,49,27,0,-,0,-,0
2021,Kenya,KEN,Ireland,IRL,53,27,0,-,0,-,0
2022,Kenya,KEN,Ireland,IRL,51,49,0,-,0,0,0
2003,Kyrgyzstan,KGZ,Ireland,IRL,0,14,0,-,0,-,0
2004,Kyrgyzstan,KGZ,Ireland,IRL,9,7,0,-,0,-,0
2005,Kyrgyzstan,KGZ,Ireland,IRL,11,0,0,-,0,-,0
2006,Kyrgyzstan,KGZ,Ireland,IRL,14,0,0,-,0,-,0
2007,Kyrgyzstan,KGZ,Ireland,IRL,16,5,0,-,0,-,0
2008,Kyrgyzstan,KGZ,Ireland,IRL,17,5,0,-,0,-,0
2009,Kyrgyzstan,KGZ,Ireland,IRL,18,0,0,-,0,-,0
2010,Kyrgyzstan,KGZ,Ireland,IRL,18,5,0,-,0,-,0
2011,Kyrgyzstan,KGZ,Ireland,IRL,22,5,0,-,0,-,0
2012,Kyrgyzstan,KGZ,Ireland,IRL,21,5,0,-,0,-,0
2013,Kyrgyzstan,KGZ,Ireland,IRL,8,0,0,-,0,-,0
2016,Kyrgyzstan,KGZ,Ireland,IRL,5,6,0,-,0,-,0
2017,Kyrgyzstan,KGZ,Ireland,IRL,5,9,0,-,0,-,0
2018,Kyrgyzstan,KGZ,Ireland,IRL,5,7,0,-,0,-,0
2019,Kyrgyzstan,KGZ,Ireland,IRL,5,5,0,-,0,-,0
2020,Kyrgyzstan,KGZ,Ireland,IRL,5,5,0,-,0,-,0
2021,Kyrgyzstan,KGZ,Ireland,IRL,5,0,0,-,0,-,0
2002,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2003,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2004,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2005,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2006,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2007,Dem. People's Rep. of Korea,PRK,Ireland,IRL,6,0,0,-,0,-,0
2008,Dem. People's Rep. of Korea,PRK,Ireland,IRL,6,0,0,-,0,-,0
2009,Dem. People's Rep. of Korea,PRK,Ireland,IRL,6,0,0,-,0,-,0
2010,Dem. People's Rep. of Korea,PRK,Ireland,IRL,6,0,0,-,0,-,0
2011,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2016,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,0,0,-,0,-,0
2017,Dem. People's Rep. of Korea,PRK,Ireland,IRL,5,5,0,-,0,-,0
2018,Dem. People's Rep. of Korea,PRK,Ireland,IRL,7,0,0,-,0,-,0
2019,Dem. People's Rep. of Korea,PRK,Ireland,IRL,7,6,0,-,0,-,0
2020,Dem. People's Rep. of Korea,PRK,Ireland,IRL,7,5,0,-,0,-,0
2021,Dem. People's Rep. of Korea,PRK,Ireland,IRL,9,0,0,-,0,-,0
2022,Dem. People's Rep. of Korea,PRK,Ireland,IRL,8,5,0,-,0,0,0
2004,Kuwait,KWT,Ireland,IRL,0,11,0,-,0,-,0
2005,Kuwait,KWT,Ireland,IRL,9,0,0,-,0,-,0
2006,Kuwait,KWT,Ireland,IRL,27,38,0,-,0,-,0
2007,Kuwait,KWT,Ireland,IRL,47,34,0,-,0,-,0
2008,Kuwait,KWT,Ireland,IRL,57,15,0,-,0,-,0
2009,Kuwait,KWT,Ireland,IRL,59,10,0,-,0,-,0
2010,Kuwait,KWT,Ireland,IRL,60,17,0,-,0,-,0
2011,Kuwait,KWT,Ireland,IRL,61,23,0,-,0,-,0
2012,Kuwait,KWT,Ireland,IRL,63,24,0,-,0,-,0
2013,Kuwait,KWT,Ireland,IRL,28,20,0,-,0,-,0
2014,Kuwait,KWT,Ireland,IRL,30,17,0,-,0,-,0
2015,Kuwait,KWT,Ireland,IRL,40,17,0,-,0,-,0
2016,Kuwait,KWT,Ireland,IRL,46,5,0,-,0,-,0
2017,Kuwait,KWT,Ireland,IRL,46,26,0,-,0,-,0
2018,Kuwait,KWT,Ireland,IRL,47,19,0,-,0,-,0
2019,Kuwait,KWT,Ireland,IRL,50,24,0,-,0,-,0
2020,Kuwait,KWT,Ireland,IRL,52,18,0,-,0,-,0
2021,Kuwait,KWT,Ireland,IRL,51,11,0,-,0,-,0
2022,Kuwait,KWT,Ireland,IRL,44,18,0,-,0,0,0
1999,Liberia,LBR,Ireland,IRL,5,0,0,-,0,-,0
2000,Liberia,LBR,Ireland,IRL,7,0,0,-,0,-,0
2001,Liberia,LBR,Ireland,IRL,9,0,0,-,0,-,0
2002,Liberia,LBR,Ireland,IRL,15,0,0,-,0,-,0
2003,Liberia,LBR,Ireland,IRL,26,83,0,-,0,-,0
2004,Liberia,LBR,Ireland,IRL,39,49,0,-,0,-,0
2005,Liberia,LBR,Ireland,IRL,40,0,0,-,0,-,0
2006,Liberia,LBR,Ireland,IRL,40,33,0,-,0,-,0
2007,Liberia,LBR,Ireland,IRL,44,25,0,-,0,-,0
2008,Liberia,LBR,Ireland,IRL,46,24,0,-,0,-,0
2009,Liberia,LBR,Ireland,IRL,42,12,0,-,0,-,0
2010,Liberia,LBR,Ireland,IRL,42,62,0,-,0,-,0
2011,Liberia,LBR,Ireland,IRL,40,66,0,-,0,-,0
2012,Liberia,LBR,Ireland,IRL,29,62,0,-,0,-,0
2013,Liberia,LBR,Ireland,IRL,26,53,0,-,0,-,0
2014,Liberia,LBR,Ireland,IRL,29,23,0,-,0,-,0
2015,Liberia,LBR,Ireland,IRL,25,16,0,-,0,-,0
2016,Liberia,LBR,Ireland,IRL,23,5,0,-,0,-,0
2017,Liberia,LBR,Ireland,IRL,23,5,0,-,0,-,0
2018,Liberia,LBR,Ireland,IRL,13,0,0,-,0,-,0
2019,Liberia,LBR,Ireland,IRL,13,0,0,-,0,-,0
2020,Liberia,LBR,Ireland,IRL,13,0,0,-,0,-,0
2021,Liberia,LBR,Ireland,IRL,12,0,0,-,0,-,0
2022,Liberia,LBR,Ireland,IRL,7,5,0,-,0,0,0
1999,Libya,LBY,Ireland,IRL,50,0,0,-,0,-,0
2000,Libya,LBY,Ireland,IRL,48,0,0,-,0,-,0
2001,Libya,LBY,Ireland,IRL,86,0,0,-,0,-,0
2002,Libya,LBY,Ireland,IRL,93,0,0,-,0,-,0
2003,Libya,LBY,Ireland,IRL,62,5,0,-,0,-,0
2004,Libya,LBY,Ireland,IRL,62,6,0,-,0,-,0
2005,Libya,LBY,Ireland,IRL,64,0,0,-,0,-,0
2006,Libya,LBY,Ireland,IRL,64,10,0,-,0,-,0
2007,Libya,LBY,Ireland,IRL,129,5,0,-,0,-,0
2008,Libya,LBY,Ireland,IRL,127,8,0,-,0,-,0
2009,Libya,LBY,Ireland,IRL,79,5,0,-,0,-,0
2010,Libya,LBY,Ireland,IRL,67,10,0,-,0,-,0
2011,Libya,LBY,Ireland,IRL,29,12,0,-,0,-,0
2012,Libya,LBY,Ireland,IRL,12,17,0,-,0,-,0
2013,Libya,LBY,Ireland,IRL,174,11,0,-,0,-,0
2014,Libya,LBY,Ireland,IRL,161,12,0,-,0,-,0
2015,Libya,LBY,Ireland,IRL,174,42,0,-,0,-,0
2016,Libya,LBY,Ireland,IRL,226,48,0,-,0,-,0
2017,Libya,LBY,Ireland,IRL,255,74,0,-,0,-,0
2018,Libya,LBY,Ireland,IRL,150,67,0,-,0,-,0
2019,Libya,LBY,Ireland,IRL,220,16,0,-,0,-,0
2020,Libya,LBY,Ireland,IRL,241,22,0,-,0,-,0
2021,Libya,LBY,Ireland,IRL,236,8,0,-,0,-,0
2022,Libya,LBY,Ireland,IRL,202,14,0,-,0,0,0
2003,Lebanon,LBN,Ireland,IRL,8,8,0,-,0,-,0
2004,Lebanon,LBN,Ireland,IRL,10,8,0,-,0,-,0
2005,Lebanon,LBN,Ireland,IRL,10,0,0,-,0,-,0
2006,Lebanon,LBN,Ireland,IRL,12,7,0,-,0,-,0
2007,Lebanon,LBN,Ireland,IRL,18,8,0,-,0,-,0
2008,Lebanon,LBN,Ireland,IRL,19,6,0,-,0,-,0
2009,Lebanon,LBN,Ireland,IRL,19,5,0,-,0,-,0
2010,Lebanon,LBN,Ireland,IRL,21,19,0,-,0,-,0
2011,Lebanon,LBN,Ireland,IRL,19,10,0,-,0,-,0
2012,Lebanon,LBN,Ireland,IRL,17,15,0,-,0,-,0
2013,Lebanon,LBN,Ireland,IRL,15,5,0,-,0,-,0
2014,Lebanon,LBN,Ireland,IRL,13,0,0,-,0,-,0
2015,Lebanon,LBN,Ireland,IRL,13,0,0,-,0,-,0
2016,Lebanon,LBN,Ireland,IRL,13,5,0,-,0,-,0
2017,Lebanon,LBN,Ireland,IRL,13,5,0,-,0,-,0
2018,Lebanon,LBN,Ireland,IRL,5,8,0,-,0,-,0
2019,Lebanon,LBN,Ireland,IRL,5,10,0,-,0,-,0
2020,Lebanon,LBN,Ireland,IRL,9,9,0,-,0,-,0
2021,Lebanon,LBN,Ireland,IRL,9,13,0,-,0,-,0
2022,Lebanon,LBN,Ireland,IRL,10,22,0,-,0,0,0
2004,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2008,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2014,Lesotho,LSO,Ireland,IRL,0,10,0,-,0,-,0
2015,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2016,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2018,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2019,Lesotho,LSO,Ireland,IRL,0,5,0,-,0,-,0
2020,Lesotho,LSO,Ireland,IRL,0,6,0,-,0,-,0
2021,Lesotho,LSO,Ireland,IRL,0,7,0,-,0,-,0
2022,Lesotho,LSO,Ireland,IRL,5,7,0,-,0,0,0
2000,Sri Lanka,LKA,Ireland,IRL,5,0,0,-,0,-,0
2001,Sri Lanka,LKA,Ireland,IRL,5,0,0,-,0,-,0
2002,Sri Lanka,LKA,Ireland,IRL,9,0,0,-,0,-,0
2003,Sri Lanka,LKA,Ireland,IRL,13,5,0,-,0,-,0
2004,Sri Lanka,LKA,Ireland,IRL,16,6,0,-,0,-,0
2005,Sri Lanka,LKA,Ireland,IRL,20,0,0,-,0,-,0
2006,Sri Lanka,LKA,Ireland,IRL,25,9,0,-,0,-,0
2007,Sri Lanka,LKA,Ireland,IRL,21,16,0,-,0,-,0
2008,Sri Lanka,LKA,Ireland,IRL,29,17,0,-,0,-,0
2009,Sri Lanka,LKA,Ireland,IRL,31,14,0,-,0,-,0
2010,Sri Lanka,LKA,Ireland,IRL,30,21,0,-,0,-,0
2011,Sri Lanka,LKA,Ireland,IRL,29,14,0,-,0,-,0
2012,Sri Lanka,LKA,Ireland,IRL,27,16,0,-,0,-,0
2013,Sri Lanka,LKA,Ireland,IRL,21,15,0,-,0,-,0
2014,Sri Lanka,LKA,Ireland,IRL,18,10,0,-,0,-,0
2015,Sri Lanka,LKA,Ireland,IRL,20,12,0,-,0,-,0
2016,Sri Lanka,LKA,Ireland,IRL,19,7,0,-,0,-,0
2017,Sri Lanka,LKA,Ireland,IRL,20,11,0,-,0,-,0
2018,Sri Lanka,LKA,Ireland,IRL,21,17,0,-,0,-,0
2019,Sri Lanka,LKA,Ireland,IRL,21,12,0,-,0,-,0
